sub_dept,transactions,exposure_pct
400 CORDLESS 18V,693,0.4519928776879879
401 GARDEN ACCESSORIES,689,0.44938397218906734
400 BRACKETS,685,0.4467750666901468
400 EXTERIOR WOODCARE,682,0.4448183875659564
401 CABINET HARDWARE,681,0.44416616119122626
401 BATHROOM ACCESSORIES,680,0.4435139348164961
400 METAL PAINT,672,0.43829612381865496
401 PEBBLES AND STONE,628,0.4095981633305288
402 TORCHES AND SPOTLIGHTS,627,0.4089459369557986
400 OUTDOOR PLANTER,617,0.4024236732084972
401 CORDLESS 18V,615,0.4011192204590369
400 CAT CARE,607,0.39590140946119584
400 GRINDING,607,0.39590140946119584
400 IRRIGATION FITTINGS,606,0.3952491830864656
400 SURFACE PROTECTION,596,0.3887269193391642
400 OPE MAINTENANCE,592,0.3861180138402437
400 PLASTER AND ACCESSORIES,589,0.38416133471605324
401 LETTERBOX AND NUMERALS,577,0.37633461821929154
400 DRIVING TOOLS,573,0.373725712720371
400 POWER SANDING,568,0.3704645808467203
402 INDOOR SHELVING,543,0.3541589214784667
401 KEYING,526,0.34307107310805435
400 FENCING TIMBER,526,0.34307107310805435
400 CLMPNG AND GRIPPING TOOLS,520,0.3391577148596735
401 PET CARE,518,0.3378532621102132
400 INTERIOR WOODCARE,514,0.33524435661129265
400 PVC PIPE AND FITTINGS,503,0.32806986648926106
401 DOOR KNOBS AND LEVERS,499,0.32546096099034055
401 BASKETS AND HAMPERS,495,0.32285205549141993
401 DECORATIVE STORAGE,493,0.32154760274195965
400 GUTTERING AND SPOUTING,478,0.31176420712100755
400 SPANNERS AND SOCKETS,470,0.3065463961231664
401 AIR MOVEMENT,470,0.3065463961231664
401 INDOOR DRYING,464,0.30263303787478557
401 PLASTIC TUBS HEAVY DUTY,462,0.3013285851253253
400 INTERIOR PAINT,458,0.2987196796264047
401 BATHROOM DECOR,449,0.2928496422538335
400 BUILDERS CONNECTORS,449,0.2928496422538335
402 DOOR STOPS,447,0.2915451895043732
402 ELECTRICAL HEATING,446,0.290892963129643
401 SHOWERS AND SHOWER TAPS,446,0.290892963129643
401 COOLERS AND WATER,444,0.28958851038018274
403 DRAPERY FITTINGS,432,0.28176179388342104
402 NIGHTLIGHTS,430,0.28045734113396076
400 STRIKNG AND WRECKNG TOOLS,426,0.27784843563504025
400 CUTTING,424,0.2765439828855799
400 SAW AND SAW BLADES,420,0.27393507738665934
402 WINDOW HARDWARE,407,0.26545613451516753
400 MOSQUITO CONTROL,406,0.26480390814043736
400 VACUUMING,405,0.26415168176570725
400 SCREEN AND EDGE,405,0.26415168176570725
401 GAS,402,0.26219500264151685
402 ENTERTAINMENT LIGHTING,394,0.2569771916436757
400 CACTI AND SUCCULENTS,381,0.24849824877218382
400 EXTERIOR BROADWALL PAINT,380,0.24784602239745368
400 PLYWOOD,378,0.24654156964799342
400 FUEL CONTAINERS,368,0.240019305900692
401 SOLDERING AND WELDING,368,0.240019305900692
401 SANITARYWARE,364,0.23741040040177142
402 CARPETS,363,0.23675817402704133
400 ELECTRONIC INSECT CONTROL,363,0.23675817402704133
400 UNDERCOAT,362,0.2361059476523112
401 DOOR HINGES,362,0.2361059476523112
400 GRASSES AND STRAPPY LEAF,361,0.23545372127758102
400 FASTENING TOOLS,352,0.22958368390500974
400 HANGING BASKET,350,0.22827923115554946
401 SITE MANAGEMENT,350,0.22827923115554946
400 DOLLIES WHEELS AND CASTORS,345,0.22501809928189875
402 FESTIVE LIGHTING,340,0.22175696740824805
402 SINKS,334,0.2178436091598672
401 CRATES,329,0.21458247728621652
401 CABINET KNOBS AND HANDLES,328,0.21393025091148635
400 CEILING LIGHTS,327,0.2132780245367562
400 LANDSCAPING TIMBER,320,0.20871243991364524
401 SHOWER SCREENS AND BASES,314,0.2047990816652644
402 LAMPS,311,0.20284240254107394
401 ROOFING,311,0.20284240254107394
400 PAVER AND BRICK,305,0.19892904429269312
401 COMPOSTERS,296,0.19305900692012185
401 LADDERS,289,0.18849342229701085
400 CHILD SAFETY,289,0.18849342229701085
401 POOL AND SPA MAINTENANCE,286,0.1865367431728204
402 INDOOR HEATING,284,0.18523229042336015
401 OUTDOOR PLAY EQUIPMENT,275,0.17936225305078887
401 DOOR ACCESSORIES,272,0.17740557392659845
401 WORKSHOP VAC,264,0.17218776292875732
400 PRESSURE CLEANERS,263,0.17153553655402717
401 METAL SECTIONS,253,0.16501327280672576
400 PICNIC AND CAMP ACC,243,0.15849100905942434
401 PLUMBING TOOLS,233,0.15196874531212293
401 BARBEQUES,233,0.15196874531212293
403 RUGS,231,0.15066429256266264
400 BIRD CARE,229,0.14935983981320236
401 POOL AND SPA,229,0.14935983981320236
400 ORGANISERS,228,0.14870761343847222
400 FREESTANDING SHELVING,228,0.14870761343847222
401 INSECT SCREEN,226,0.14740316068901194
400 AUTO ACCESSORIES,226,0.14740316068901194
400 BATTERIES AND CHARGERS,223,0.1454464815648215
400 FURNITURE ACCESSORIES,223,0.1454464815648215
400 OUTDOOR DECORATIVE,223,0.1454464815648215
400 FRAMING TIMBER,218,0.1421853496911708
400 GUTTER GUARD,211,0.1376197650680598
400 CORDED AC,211,0.1376197650680598
402 KITCHEN ACCESSORIES,210,0.13696753869332967
400 BLOW MOULD AND RESIN,209,0.13631531231859956
402 TOOLBOXES,204,0.13305418044494882
400 MDF BOARDS,203,0.13240195407021868
400 FENCE AND TIMBER PAINT,199,0.12979304857129811
400 PORTABLE OUTDOOR SEATING,195,0.12718414307237755
402 ELECTRICAL COOLING,195,0.12718414307237755
401 CUBE STORAGE,192,0.12522746394818712
400 SYNTHETIC TURF,190,0.12392301119872684
402 AUTO TOOLS,189,0.12327078482399671
401 LAUNDRY AIDS,189,0.12327078482399671
402 DOWNLIGHTS,185,0.12066187932507616
401 SHADE CLOTH AND SAILS,183,0.11935742657561586
401 GARDEN TRANSPORT,180,0.11740074745142544
402 WORK AND SAFETY LIGHTING,178,0.11609629470196514
400 COLLATED FASTENER,177,0.11544406832723503
400 SURFACE WATER DRAINAGE,172,0.1121829364535843
400 SHAVING,172,0.1121829364535843
400 ANIMAL CONTROL,170,0.11087848370412402
402 ROOM FURNITURE,166,0.10826957820520346
400 WOODWORKING AND ROTARY,162,0.10566067270628289
400 GROUT AND SEALER,161,0.10500844633155276
400 INSULATION,160,0.10435621995682262
400 MASONRY TOOLS,158,0.10305176720736232
400 BUILDING WRAP,157,0.1023995408326322
400 MIX AND MATCH,155,0.1010950880831719
400 LAWN MOWERS,152,0.09913840895898149
402 HOME AUTOMATION PRODUCTS,151,0.09848618258425133
401 FLOORING ADHESIVE,148,0.09652950346006092
400 RIVETS,145,0.09457282433587048
400 WALL SYSTEMS AND HARDWARE,144,0.09392059796114036
400 DECKING TIMBER,143,0.0932683715864102
400 TROLLEYS,138,0.09000723971275951
401 TOOLS AND ACCESSORIES,137,0.08935501333802935
400 RECREATION SHADE,135,0.08805056058856908
400 ROSE,134,0.08739833421383894
402 APPLIANCES,133,0.0867461078391088
400 BUILDERS FILM AND ACCESS,131,0.08544165508964852
400 MULTIFUNCTION TOOL ACCESS,130,0.08478942871491837
403 AIR TOOLS,130,0.08478942871491837
400 PANELS,128,0.08348497596545809
400 WALL LIGHTS,125,0.08152829684126767
401 DOOR SECURITY,125,0.08152829684126767
HIRE SHOP CONSUMABLES SDT,124,0.08087607046653753
400 EXTERIOR WATERPROOFING,122,0.07957161771707724
400 WATERING SYSTEMS,121,0.0789193913423471
400 KITCHEN TAPS,121,0.0789193913423471
401 DOOR CHIMES AND SENSORS,118,0.07696271221815668
402 TOOL BAGS AND BELTS,116,0.07565825946869639
400 ARTIFICIAL,114,0.07435380671923611
400 CLIMBING PLANT,112,0.07304935396977583
403 CURTAINS,110,0.07174490122031554
401 FENCING AND GATES,110,0.07174490122031554
400 GROUNDCOVER PLANT,106,0.06913599572139498
402 TUBES AND CIRCULAR,105,0.06848376934666484
401 AUTO ELECTRICAL,105,0.06848376934666484
401 SECURITY CAMERAS,100,0.06522263747301413
400 COATING AND COMPOUNDS,99,0.06457041109828399
401 VANITY AND CABINETS,98,0.06391818472355384
402 DOOR TRACK,92,0.060004826475173
400 PUMPS,89,0.05804814735098257
401 DOOR FURNITURE,86,0.05609146822679215
402 MODULAR KITCHENS,86,0.05609146822679215
401 PET DOORS,84,0.05478701547733187
400 MOWER ACCESSORIES,84,0.05478701547733187
400 BUDGET PAINT,83,0.05413478910260173
401 CORDED AC,82,0.05348256272787159
403 INDOOR BLINDS,82,0.05348256272787159
400 POND AND WATER FEATURES,82,0.05348256272787159
400 WALLPAPER,81,0.052830336353141445
401 FLOORING TRIM,80,0.05217810997841131
402 TRANSPORT HARDWARE,79,0.05152588360368116
400 BORDERS HEDGING SCREENING,79,0.05152588360368116
401 TILES AND SHEETING,76,0.049569204479490744
400 HEALTHY HOMES,75,0.048916978104760596
402 WINDOW FILM,73,0.04761252535530032
400 SAND AND AGGREGATES,73,0.04761252535530032
400 SAFES,72,0.04696029898057018
400 FURNITURE LEGS,69,0.045003619856379753
400 HOT WATER UNITS,68,0.04435139348164961
402 VINYL FLOORING,66,0.04304694073218933
400 FIBRECEMENT AND ACCESS,64,0.041742487982729046
401 STEEL REINFORCING,63,0.041090261607998904
