Macro-segment,sub_dept,transactions,exposure_pct
Nutrients & Feeding Systems,400 ANNUAL FLOWERING,137258,12.295435143456299
Nutrients & Feeding Systems,400 FERTILISERS,125259,11.220576655890312
Nutrients & Feeding Systems,401 PLANT SUPPORT,115812,10.374323790481872
Nutrients & Feeding Systems,400 PROPAGATION,114518,10.258408557303241
Nutrients & Feeding Systems,400 AUTO ACCESSORIES,678,0.06073456576129166
Nutrients & Feeding Systems,400 MASONRY TOOLS,677,0.06064498675574403
Nutrients & Feeding Systems,402 HOME AUTOMATION PRODUCTS,644,0.05768887957267231
Nutrients & Feeding Systems,402 DOWNLIGHTS,617,0.05527024642288637
Nutrients & Feeding Systems,402 AUTO TOOLS,573,0.051328770178790735
Nutrients & Feeding Systems,400 FURNITURE LEGS,566,0.050701717139957345
Nutrients & Feeding Systems,400 COATING AND COMPOUNDS,545,0.04882055802345715
Nutrients & Feeding Systems,401 DOOR CHIMES AND SENSORS,529,0.04738729393469512
Nutrients & Feeding Systems,401 FLOORING TRIM,462,0.04138550056300405
Nutrients & Feeding Systems,401 STEEL REINFORCING,436,0.039056446418765725
Nutrients & Feeding Systems,401 CORDLESS HIGH VOLTAGE,404,0.03618991824124164
Nutrients & Feeding Systems,402 GARDEN AND POND LIGHTING,402,0.036010760230146384
Nutrients & Feeding Systems,402 TOOL BAGS AND BELTS,374,0.0335025480748128
Propagation & Container Systems,401 PLANT SUPPORT,115812,10.374323790481872
Propagation & Container Systems,400 PROPAGATION,114518,10.258408557303241
Propagation & Container Systems,400 FUNCTIONAL POT,91612,8.206511856229278
Propagation & Container Systems,400 CLEANING CHEMICALS,53919,4.830010400122544
Propagation & Container Systems,401 WORKSHOP VAC,830,0.07435057460453108
Propagation & Container Systems,400 WOODWORKING AND ROTARY,709,0.06351151493326812
Propagation & Container Systems,400 AUTO ACCESSORIES,678,0.06073456576129166
Propagation & Container Systems,402 HOME AUTOMATION PRODUCTS,644,0.05768887957267231
Propagation & Container Systems,401 TILES AND SHEETING,602,0.05392656133967194
Propagation & Container Systems,400 WALL LIGHTS,588,0.052672455262005154
Propagation & Container Systems,402 AUTO TOOLS,560,0.05016424310667158
Propagation & Container Systems,402 WORK AND SAFETY LIGHTING,480,0.04299792266286135
Propagation & Container Systems,402 VINYL FLOORING,403,0.03610033923569401
