sub_dept,transactions,exposure_pct
401 SOLDERING AND WELDING,2738,0.24526731718940495
400 PALMS,2732,0.24472984315611918
401 CUBE STORAGE,2718,0.24347573707845238
400 CEILING LIGHTS,2709,0.24266952602852374
400 DECKING TIMBER,2646,0.23702604867902322
402 COOLERS AND WATER,2636,0.23613025862354692
401 AIR MOVEMENT,2609,0.23371162547376095
400 LAWN MOWERS,2585,0.2315617293406179
400 WATER SAVING AGENT,2574,0.230576360279594
400 TROPICAL,2552,0.22860562215754618
400 CHILD SAFETY,2522,0.22591825199111734
401 SITE MANAGEMENT,2494,0.22341003983578378
400 FUEL CONTAINERS,2398,0.2148104553032115
401 LADDERS,2390,0.21409382325883047
400 INT CLEARS AND FILLERS,2364,0.21176476911459216
402 INDOOR HEATING,2288,0.20495676469297242
400 CORDED AC,2199,0.19698423319923358
400 ELECTRONIC INSECT CONTROL,2173,0.19465517905499524
400 BATTERIES AND CHARGERS,2121,0.1899970707665186
401 METAL SECTIONS,2096,0.1877575956278279
400 GUTTER GUARD,2059,0.18444317242256567
400 PORTABLE OUTDOOR SEATING,2010,0.1800538011507319
403 RUGS,2009,0.17996422214518426
402 ELECTRICAL HEATING,2002,0.1793371691063509
401 PORTABLE OUTDOOR SEATING,1946,0.17432074479568374
400 DECK PREP AND MAINTENANCE,1905,0.17064800556823098
402 ROOM FURNITURE,1900,0.17020011054049283
400 POND AND WATER FEATURES,1897,0.16993137352384996
400 SURFACE WATER DRAINAGE,1876,0.1680502144073498
400 BUILDERS FILM AND ACCESS,1840,0.16482537020763519
400 ORGANISERS,1833,0.1641983171688018
400 MDF BOARDS,1797,0.16097347296908718
401 PLUMBING TOOLS,1725,0.15452378456965796
400 GROUT AND SEALER,1698,0.15210515141987202
400 BUILDERS FILM AND FOAMS,1692,0.15156767738658625
401 DOOR ACCESSORIES,1629,0.1459242000370857
401 WORKSHOP VAC,1626,0.14565546302044283
400 RECREATION SHADE,1604,0.143684724898395
402 SINKS,1587,0.14216188180408534
402 RECREATION SHADE,1569,0.14054945970422805
400 AUTO ACCESSORIES,1541,0.13804124754889446
400 PANELS,1535,0.1375037735156087
401 SEMI PERMANENT SHADE,1535,0.1375037735156087
401 FENCING AND GATES,1510,0.135264298376918
400 TROLLEYS,1495,0.13392061329370358
400 SINKS FILTRATION AND ACC,1489,0.1333831392604178
402 TOOLBOXES,1463,0.1310540851161795
400 PICNIC AND CAMP ACC,1445,0.1294416630163222
400 WALL SYSTEMS AND HARDWARE,1443,0.12926250500522693
400 FRAMING TIMBER,1442,0.1291729259996793
402 KITCHEN ACCESSORIES,1438,0.1288146099774888
400 WOODWORKING AND ROTARY,1406,0.1259480817999647
401 PICNIC AND CAMP ACC,1365,0.12227534257251196
401 FLOORING ADHESIVE,1363,0.1220961845614167
400 SHAVING,1349,0.12084207848374992
401 TOOLS AND ACCESSORIES,1332,0.11931923538944025
400 MASONRY TOOLS,1321,0.11833386632841635
401 CORDED AC,1243,0.11134670389570138
HIRE SHOP CONSUMABLES SDT,1215,0.10883849174036779
400 SAND AND AGGREGATES,1204,0.10785312267934388
402 DOWNLIGHTS,1193,0.10686775361831999
401 VANITY AND CABINETS,1161,0.1040012254407959
402 MODULAR KITCHENS,1142,0.10229922433539096
402 AUTO TOOLS,1131,0.10131385527436705
400 FURNITURE LEGS,1130,0.10122427626881943
401 TILES AND SHEETING,1126,0.10086596024662892
401 SAND AND AGGREGATES,1088,0.09746195803581906
400 WALL LIGHTS,1084,0.09710364201362855
403 CURTAINS,1080,0.09674532599143804
402 HOME AUTOMATION PRODUCTS,1046,0.0936996398028187
401 LAUNDRY AIDS,1044,0.09352048179172344
403 INDOOR BLINDS,1031,0.09235595471960427
401 DOOR CHIMES AND SENSORS,1009,0.09038521659755647
400 PLANTS OFF RANGE,1007,0.09020605858646122
400 BENCH AND STORAGE,1006,0.09011647958091358
400 MOWER ACCESSORIES,988,0.08850405748105628
400 COLLATED FASTENER,983,0.08805616245331814
401 COATING AND COMPOUNDS,950,0.08510005527024642
402 WINDOW FILM,947,0.08483131825360354
401 FLOORING TRIM,927,0.08303973814265098
400 KITCHEN TAPS,916,0.08205436908162708
400 BUDGET PAINT,910,0.08151689504834131
402 APPLIANCES,909,0.08142731604279368
400 RIVETS,893,0.07999405195403163
402 WORK AND SAFETY LIGHTING,889,0.07963573593184112
400 EXTERIOR TIMBER,871,0.07802331383198383
403 AIR TOOLS,845,0.0756942596877455
400 FURNITURE SETTINGS,839,0.07515678565445974
400 PAVING PAINT,833,0.07461931162117397
401 STEEL REINFORCING,813,0.07282773151022141
401 SECURITY CAMERAS,807,0.07229025747693564
400 INTERIOR STAINS,789,0.07067783537707834
401 CORDLESS HIGH VOLTAGE,769,0.06888625526612578
402 VINYL FLOORING,761,0.06816962322174476
400 TIMBER CARE MAINTENANCE,753,0.06745299117736375
400 MULTIFUNCTION TOOL ACCESS,749,0.06709467515517324
402 GARDEN AND POND LIGHTING,740,0.06628846410524458
400 INSULATION,735,0.06584056907750645
400 WALLPAPER,734,0.06575099007195881
400 ANIMAL CONTROL,714,0.06395940996100626
402 TOOL BAGS AND BELTS,706,0.06324277791662523
400 BUILDING WRAP,702,0.06288446189443472
402 TUBES AND CIRCULAR,685,0.06136161880012505
401 DOOR SECURITY,664,0.05948045968362487
401 PET DOORS,655,0.05867424863369621
400 STRUCTURAL OUTDOOR TP,643,0.05759930056712468
400 FURNITURE LOUNGES,636,0.05697224752829129
401 PETROL OPE,609,0.05455361437850534
400 SAFES,607,0.05437445636741008
402 TRANSPORT HARDWARE,598,0.05356824531748143
402 DOOR TRACK,559,0.05007466410112395
400 MELAMINE,557,0.04989550609002869
400 COATING AND COMPOUNDS,546,0.04891013702900479
402 PENDANTS,539,0.04828308399017139
400 BOUTIQUE PAINT,527,0.04720813592359986
403 OUTDOOR BLINDS,498,0.04461034476271865
401 BASIN AND BATH TAPS,496,0.04443118675162339
400 PET ACCOMODATION,488,0.04371455470724237
401 IRONING,487,0.04362497570169474
400 WATERPROOFING,480,0.04299792266286135
400 EXTERIOR WATERPROOFING,479,0.04290834365731372
400 PUMPS,468,0.04192297459628982
401 INDEPENDENT LIVING,460,0.041206342551908796
400 NON STRUCTURAL TIMBER,450,0.04031055249643252
400 COMPONENT SHELVING SYSTEMS,439,0.03932518343540861
401 DOOR FURNITURE,419,0.03753360332445605
400 STRUCTURAL OTHER,411,0.03681697128007503
401 PLANK FLOORING,404,0.03618991824124164
400 HOLIDAYS,388,0.03475665415247959
400 FIBRECEMENT AND ACCESS,374,0.0335025480748128
400 NZ HOT DRINKS,370,0.03314423205262229
400 HOT WATER UNITS,361,0.03233802100269364
400 MISC POWER GARDEN,354,0.03171096796386024
400 HALLOWEEN,353,0.03162138895831262
402 WORK BENCHES AND STANDS,345,0.0309047569139316
402 SPRINGS,336,0.030098545864002946
400 CONCRETE SEALERS CLEANERS,333,0.029829808847360063
400 CLADDING,328,0.029381913819621925
400 SPECIALTY BOARDS,328,0.029381913819621925
400 FLASHINGS,321,0.028754860780788528
400 NZ SNACK FOODS,309,0.027679912714216992
401 OUTDOOR STRUCTURES,299,0.026784122658740715
